rank,ligue,accessibility_note,name,primary_org,category,relevance_score,episode_angle,linkedin_url,linkedin_followers,linkedin_confidence,linkedin_note,linkedin_evidence_url
11,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Sébastien Bubeck,OpenAI / ex-Microsoft,LLM reasoning,9,"LLM reasoning, theory, frontier model behavior",https://linkedin.com/in/sebastien-bubeck-6b558a1a5,27000,high,Personal LinkedIn profile found in entity dataset.,https://linkedin.com/in/sebastien-bubeck-6b558a1a5
12,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Antoine Bordes,Helsing / ex-Meta AI,RAG / defense AI,8,"RAG, agents, defense AI, research-to-product",https://fr.linkedin.com/in/antoinebordes,13000,medium,Profile found via search snippet; multiple similar names exist so confidence is medium.,https://fr.linkedin.com/in/antoinebordes
13,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Laurent Sifre,H Company / ex-DeepMind,AI agents,9,"Agents, AlphaGo lineage, model-based AI systems",https://linkedin.com/in/sifre,12000,high,"Personal LinkedIn profile found in entity dataset (lists H Company, DeepMind).",https://linkedin.com/in/sifre
14,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Julien Perolat,H Company / ex-DeepMind,multi-agent RL,8,"Multi-agent RL, agentic systems",https://linkedin.com/in/julien-perolat-757076a1,1000,high,"Personal LinkedIn profile found in entity dataset (H Company, ex-DeepMind).",https://linkedin.com/in/julien-perolat-757076a1
15,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Gabriel Hubert,Dust,enterprise AI agents,9,"Enterprise AI agents, internal knowledge, product workflows",https://linkedin.com/in/gabhubert,8000,high,"Personal LinkedIn profile found in entity dataset (Co-founder & CEO, Dust).",https://linkedin.com/in/gabhubert
16,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Stanislas Polu,Dust / ex-OpenAI,agents / reasoning,9,"AI agents, theorem proving, coding/reasoning systems",https://www.linkedin.com/in/spolu,,high,Personal LinkedIn profile found in entity dataset (Dust co-founder).,https://www.linkedin.com/in/spolu
17,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Patrick Pérez,Kyutai,voice / open AI lab,8,"Open-science AI lab, real-time voice AI, Moshi",,,not_found,No unambiguous personal LinkedIn profile located in the datasets/searches; name variants (accent) may affect results.,
18,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Neil Zeghidour,Kyutai / Gradium,voice AI,8,"Voice models, audio LLMs, real-time interaction",https://linkedin.com/in/neil-zeghidour-a838aaa7,,high,"Personal LinkedIn profile found (CEO of Gradium, prior Kyutai/Google roles).",https://linkedin.com/in/neil-zeghidour-a838aaa7
19,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Alexandre Défossez,Kyutai / ex-Meta,audio generation,8,"Audio generation, MusicGen-style systems, multimodal AI",https://linkedin.com/in/alexandre-d%C3%A9fossez-b099ba7b,,high,Personal LinkedIn profile supplied in prior verified context (Kyutai founding research team).,https://linkedin.com/in/alexandre-d%C3%A9fossez-b099ba7b
20,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Maxime Beauchemin,Preset / Airflow / Superset,data engineering,10,"Data engineering, orchestration, analytics infra",,,low,Could not locate a single unambiguous personal profile in the datasets/search results; multiple people with similar names exist (Preset/Airflow/Superset affiliation not confirmed via dataset).,
21,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Florian Douetteau,Dataiku,enterprise AI platform,8,"Enterprise AI platforms, governance, production ML",https://linkedin.com/in/fdouetteau,,high,Profile matches Dataiku Co-founder and CEO (clear personal linkedin.com/in profile).,https://linkedin.com/in/fdouetteau
22,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Clément Stenac,Dataiku,data / ML platform,8,Data/ML platform engineering at scale,https://linkedin.com/in/clementstenac,,high,Personal linkedin.com/in profile associated with Dataiku (CTO/co-founder).,https://linkedin.com/in/clementstenac
23,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Gaël Varoquaux,Inria / Probabl / scikit-learn,scientific ML,9,"Scientific Python, reliable ML, open-source governance",https://linkedin.com/in/gael-varoquaux-a8391411,,high,Personal linkedin.com/in profile listing Inria and scikit-learn affiliations.,https://linkedin.com/in/gael-varoquaux-a8391411
24,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Olivier Grisel,Probabl / scikit-learn,ML infra,8,"ML performance, Python infra, practical model deployment",https://www.linkedin.com/in/olivier-grisel-9131873,,high,Personal linkedin.com/in profile (Probabl / scikit-learn contributor). Multiple variants exist; this URL matches the known profile.,https://www.linkedin.com/in/olivier-grisel-9131873
25,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Guillaume Lemaitre,Probabl / scikit-learn,open-source ML,8,"Open-source ML maintenance, library engineering",,,low,Multiple LinkedIn profiles for people named Guillaume Lemaitre were found; none could be unambiguously confirmed as the Probabl / scikit-learn researcher. Returned evidence_url shows one candidate but confidence is LOW and linkedin_url set to null.,https://linkedin.com/in/guillaume-lemaitre-45362a112
26,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Sylvain Gugger,Hugging Face / fast.ai,training tools,8,"Training libraries, education, practical DL tooling",,,not_found,No clear personal linkedin.com/in profile found in queried datasets for the Hugging Face / fast.ai author.,
27,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Lysandre Debut,Hugging Face,ML tooling,8,"Transformers, safetensors, open-source ML operations",https://linkedin.com/in/lysandredebut,,high,Personal linkedin.com/in profile listing Hugging Face affiliation.,https://linkedin.com/in/lysandredebut
28,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Victor Sanh,Hugging Face,efficient NLP,8,"DistilBERT, efficient NLP, community research",https://linkedin.com/in/victor-sanh,,high,Personal linkedin.com/in profile associated with Hugging Face. (Alternate variant with suffix exists; chosen canonical variant.),https://linkedin.com/in/victor-sanh
29,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Ronan Collobert,Meta / Torch,ML systems,8,"Deep learning frameworks, Torch history, ML systems",https://linkedin.com/in/ronan-collobert,,high,Personal linkedin.com/in profile found (researcher with Torch / Meta background).,https://linkedin.com/in/ronan-collobert
30,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Edouard Grave,Meta AI,efficient NLP,7,"Efficient NLP, embeddings, large-scale model training",,,not_found,No clear personal linkedin.com/in profile found in queried datasets for Edouard Grave (Meta AI).,
31,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Armand Joulin,Meta AI / Google DeepMind,retrieval / NLP,7,"Retrieval, efficient models, NLP systems",https://fr.linkedin.com/in/armand-joulin-0274254,,high,Public LinkedIn profile found (French LinkedIn URL) showing roles at Google DeepMind and prior Meta AI positions.,https://fr.linkedin.com/in/armand-joulin-0274254
32,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Maxime Oquab,Meta AI,computer vision,7,"Computer vision, self-supervised learning, multimodal models",,,not_found,No linkedin.com/in personal profile located in searches; OpenReview and publication records show Meta affiliation.,https://openreview.net/profile?id=~Maxime_Oquab1
33,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Alexis Conneau,ex-OpenAI / WaveForms,audio / multilingual AI,8,"Multilingual/audio models, voice AI",,,not_found,No linkedin.com/in personal profile located in searches; Crunchbase and social posts identify Alexis Conneau as co-founder/CEO of WaveForms and ex-OpenAI.,https://www.crunchbase.com/person/alexis-conneau-e86c
34,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Hugo Larochelle,Mila / Google,ML education,8,"ML education, research leadership, deep learning fundamentals",https://ca.linkedin.com/in/hugolarochelle,9000,high,Public LinkedIn profile found showing Hugo Larochelle as Scientific Director at Mila (and Google affiliations).,https://ca.linkedin.com/in/hugolarochelle/en
35,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Aurélien Géron,ML author / engineer,ML education,7,"Practical ML education, deployment patterns",https://nz.linkedin.com/in/aurelien-geron,,high,Public LinkedIn profile found for Aurélien Géron (author of 'Hands-On Machine Learning' and ML engineer).,https://nz.linkedin.com/in/aurelien-geron
36,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Rand Hindi,Zama / ex-Snips,privacy AI,8,"Privacy-preserving ML, FHE, on-device assistants",https://www.linkedin.com/in/randhindi,,high,Public LinkedIn profile found showing Rand Hindi as CEO at Zama and investor roles.,https://www.linkedin.com/in/randhindi
37,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Pascal Paillier,Zama,cryptography,8,"Homomorphic encryption, secure AI computation",https://fr.linkedin.com/in/ppaillier,,high,"Public LinkedIn profile found for Pascal Paillier (cryptographer, Zama CTO).",https://fr.linkedin.com/in/ppaillier
38,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Alexandre Lebrun,Nabla,health AI agents,8,"Healthcare AI agents, clinical assistants, productization",https://fr.linkedin.com/in/alexandrelebrun,,high,Public LinkedIn profile found for Alexandre LeBrun (co-founder of Nabla).,https://fr.linkedin.com/in/alexandrelebrun
39,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Martin Raison,Nabla,health AI engineering,7,"Medical AI engineering, secure clinical workflows",,,not_found,No linkedin.com/in personal profile located in searches; company pages list him as co-founder of Nabla.,http://welcometothejungle.com/en/companies/nabla/tech-1
40,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Thomas Clozel,Owkin,biomedical AI,8,"Biomedical AI, federated learning, foundation models for health",,,not_found,No linkedin.com/in personal profile located in searches; could not locate an authoritative public LinkedIn profile during research.,
41,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Gilles Wainrib,Owkin,scientific ML,7,Scientific ML for biomedicine,https://fr.linkedin.com/in/gilles-wainrib-028a622,,high,Co-founder and CSO at Owkin.,https://fr.linkedin.com/in/gilles-wainrib-028a622
42,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Igor Carron,LightOn,enterprise LLMs,7,"Enterprise LLMs, search/retrieval, AI infrastructure",https://fr.linkedin.com/in/igorcarron,,high,CEO and co-founder of LightOn.,https://fr.linkedin.com/in/igorcarron
43,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Laurent Daudet,LightOn,AI hardware / compute,7,"Optical computing, AI acceleration, sovereign infra",https://fr.linkedin.com/in/laurent-daudet-a845b02,,high,Co-founder and former co-CEO of LightOn.,https://fr.linkedin.com/in/laurent-daudet-a845b02
44,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Florent Krzakala,LightOn / EPFL,ML theory,7,"Statistical physics, ML theory, model behavior",https://www.linkedin.com/in/florentkrzakala,,medium,Professor at EPFL; known co-founder of LightOn although snippet focuses on academic role.,https://www.linkedin.com/in/florentkrzakala
45,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Matthieu Rouif,Photoroom,generative image AI,8,"Generative image products, mobile AI, product-led AI",https://fr.linkedin.com/in/matthieurouif,,high,Co-founder & CEO of Photoroom.,https://fr.linkedin.com/in/matthieurouif
46,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Eliot Andres,Photoroom,computer vision product,8,"Applied computer vision, image generation infra",https://fr.linkedin.com/in/eliotandres,,high,Co-founder and CTO at Photoroom.,https://fr.linkedin.com/in/eliotandres
47,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Julien Launay,Adaptive ML,RLOps / evals,8,"RLOps, custom enterprise models, evals/judges",https://www.linkedin.com/in/julienlaunay,5000,high,Cofounder & CEO at Adaptive ML.,https://www.linkedin.com/in/julienlaunay
48,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Baptiste Pannier,Adaptive ML,RLOps engineering,8,Technical side of RL fine-tuning and specialized LLMs,https://fr.linkedin.com/in/baptiste-pannier-b30758154,,high,Cofounder & CTO at Adaptive ML.,https://fr.linkedin.com/in/baptiste-pannier-b30758154
49,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Jean-Philippe Aumasson,cryptography/security,AI security,8,"AI security, model-weight protection, cryptographic infra",https://ch.linkedin.com/in/aumasson,,high,Cryptography expert and CSO.,https://ch.linkedin.com/in/aumasson
50,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Baptiste Robert,Predicta Lab / fs0c131y,cybersecurity,8,"Offensive security, supply chain, prompt-injection/security angle",https://fr.linkedin.com/in/baptisterobert,,high,Security researcher known as fs0c131y and CEO of Predicta Lab.,https://fr.linkedin.com/in/baptisterobert
51,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Xavier Niel,Iliad / Station F / Kyutai,AI ecosystem / compute,7,"Funding French AI labs, compute access, Station F ecosystem, Kyutai",,,not_enriched,,
52,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Octave Klaba,OVHcloud,cloud / sovereignty,8,"European cloud, sovereign AI infrastructure, datacenters",,,not_enriched,,
53,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Cédric O,Mistral AI adviser / ex-government,AI policy / ecosystem,7,"French AI policy, financing, sovereignty and startup scaling",,,not_enriched,,
54,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Cédric Villani,Mathematician / ex-MP,AI policy / research,7,"AI strategy for France, math culture, public research",,,not_enriched,,
55,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Luc Julia,Renault / ex-Siri,AI product,7,"Voice assistants, realistic AI product constraints, edge AI",,,not_enriched,,
56,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Roxanne Varza,Station F,startup ecosystem,7,"AI startup ecosystem, founder sourcing and scaling in France",,,not_enriched,,
57,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Fleur Pellerin,Korelya Capital,VC / policy,6,"Capital, industrial strategy, Korean/French tech bridges",,,not_enriched,,
58,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Jean-Gabriel Ganascia,Sorbonne University,AI ethics,6,"AI ethics, risk framing, regulation and society",,,not_enriched,,
59,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Gilles Babinet,Digital champion / entrepreneur,digital policy,6,European digital sovereignty and public-sector transformation,,,not_enriched,,
60,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Marie-Laure Denis,CNIL,privacy / regulation,7,"AI Act, privacy engineering, data governance",,,not_enriched,,
61,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Rémi Stefanini,CNIL,technical privacy / AI governance,8,"Technical regulation, audits, privacy-preserving AI systems",,,not_enriched,,
62,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Samih Souissi,ANSSI,cybersecurity,8,"Security of AI systems, prompt injection and supply-chain risk",,,not_enriched,,
63,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Nicolas Miailhe,The Future Society,AI governance,6,"AI governance, standards, EU AI Act implementation",,,not_enriched,,
64,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Antoine Petit,CNRS,public research,6,"French public AI research, talent and industry transfer",,,not_enriched,,
65,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Jérôme Pesenti,ex-Meta AI / Sizzle / Campus,AI leadership,7,"Leading AI teams, productization, AI education",,,not_enriched,,
66,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Stanislas Dehaene,Collège de France,cognitive science,6,"Human learning, cognition and what AI can learn from neuroscience",,,not_enriched,,
67,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Pierre-Yves Oudeyer,Inria,developmental robotics,7,"Embodied agents, curiosity-driven learning, robotics",,,not_enriched,,
68,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Jean-Paul Laumond,CNRS / robotics,robotics,6,"Motion planning, robot safety and verification",,,not_enriched,,
69,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Adrien Gaidon,Toyota Research Institute,computer vision / robotics,7,"Autonomous systems, realistic evals, perception data",,,not_enriched,,
70,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Pierre Stock,Google DeepMind,ML robustness,7,"Robustness, reproducibility, model behavior",,,not_enriched,,
71,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Alexandre Sablayrolles,Meta AI / ML research,ML robustness,7,"Model failure modes, privacy/security and ML evaluation",,,not_enriched,,
72,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Hugo Thimonier,Mistral AI,multimodal LLMs,7,Applied multimodal LLMs and tabular/anomaly ML,,,not_enriched,,
73,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Maël Nison,Mistral AI / Yarn,platform engineering,7,"Package managers, infra, CI/CD and AI engineering workflows",,,not_enriched,,
74,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Théophile Gervet,Mistral AI,LLM research,7,"LLM agents, research engineering and evaluation",,,not_enriched,,
75,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Alexandre Gramfort,Inria / scikit-learn,scientific Python,7,"Scientific ML, signal processing, open-source maintenance",,,not_enriched,,
76,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Bertrand Thirion,Inria,ML for science,6,"Neuroimaging, scientific ML, reproducibility",,,not_enriched,,
77,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Julien Mairal,Inria,ML theory / optimization,7,"Optimization, representation learning, robust ML",,,not_enriched,,
78,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Francis Bach,Inria / ENS,ML theory,7,"Optimization, kernels, statistical learning for modern AI",,,not_enriched,,
79,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Rémi Munos,Google DeepMind,reinforcement learning,8,"RL, planning, AlphaZero-style systems, agents",,,not_enriched,,
80,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Stéphane Mallat,Collège de France,deep learning theory,7,"Wavelets, scattering networks, theory of deep learning",,,not_enriched,,
81,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Gabriel Peyré,CNRS / ENS,optimal transport / generative AI,7,"Optimal transport, diffusion/generative models, geometry",,,not_enriched,,
82,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Isabelle Guyon,AutoML / ChaLearn,AutoML / benchmarks,7,"AutoML, benchmark design, reproducibility",,,not_enriched,,
83,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Cordelia Schmid,Inria / Google Research,computer vision,7,Vision foundation models and research transfer,,,not_enriched,,
84,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Jean Ponce,Inria / ENS,computer vision,6,Computer vision foundations and 3D understanding,,,not_enriched,,
85,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Jean-Philippe Vert,Owkin / Google,bio ML,7,"ML for biology, healthcare foundation models",,,not_enriched,,
86,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Karim Beguir,InstaDeep / BioNTech,applied AI / RL,8,"Enterprise RL, AI for biology, scaling from Africa/Europe",,,not_enriched,,
87,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Zohra Slim,InstaDeep,AI startup operations,7,Scaling applied AI companies and diverse AI ecosystems,,,not_enriched,,
88,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Etienne Bernard,NuMind,NLP tooling,7,"Human-in-the-loop NLP, LLM-assisted data labeling",,,not_enriched,,
89,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Thomas Solignac,Golem.ai,enterprise NLP,6,Symbolic/hybrid NLP for enterprise automation,,,not_enriched,,
90,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Boris Dayma,Craiyon,generative image AI,6,Open generative image models and consumer AI virality,,,not_enriched,,
91,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Romain Huet,OpenAI / ex-Stripe,developer relations,7,"Developer platforms, APIs, OpenAI ecosystem from a French operator",,,not_enriched,,
92,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Benoît Dageville,Snowflake,data cloud,7,"Data cloud architecture, scaling databases for AI workloads",,,not_enriched,,
93,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Thierry Cruanes,Snowflake,database systems,7,Cloud data warehouse internals and AI data infrastructure,,,not_enriched,,
94,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Nicolas Dessaigne,Algolia,search / developer tools,7,"Search infrastructure, developer-first SaaS, retrieval for AI",,,not_enriched,,
95,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Julien Lemoine,Algolia,search engineering,7,"Search systems, latency, retrieval and product engineering",,,not_enriched,,
96,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Tristan Nitot,Mozilla / Cozy Cloud,open web / privacy,6,"Open source, privacy, web platform and AI-era user agency",,,not_enriched,,
97,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Jean-Baptiste Kempf,VideoLAN,open source / media,6,"Open-source governance, multimedia, codecs and AI media workflows",,,not_enriched,,
98,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Fabien Potencier,Symfony / Blackfire,developer tools,6,"Developer platforms, PHP ecosystem, performance and observability",,,not_enriched,,
99,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,Kévin Dunglas,API Platform / Mercure,developer tools,6,"API design, real-time systems, web dev infrastructure",,,not_enriched,,
100,Ligue 2,Realistic outreach target: technical/niche/operator profile likely more accessible,David Bessis,Tinyclues / author,AI / mathematics,6,"Mathematics, AI product history, thinking tools and creativity",,,not_enriched,,
